Task,ROC-AUC,PR-AUC,loss,Train_Time_sec,Best_Epoch,RMSE
Task 1 (Anomaly),0.9789364337921143,0.8798123598098755,0.046455419885042384,4242.237324476242,75,
Task 2 (Forecasting),,,119.14942169189453,488.3088791370392,5,11.510132789611816
Task 3 (Inequality),0.9596810936927795,0.7077889442443848,0.6635796755361252,1113.4284386634827,1,
