seed,T1_TabPFN_fit_time,T1_TabPFN_predict_time,T1_TabPFN_ROC-AUC,T1_TabPFN_PR-AUC,T1_AG_fit_time,T1_AG_predict_time,T1_AG_ROC-AUC,T1_AG_PR-AUC,T3_TabPFN_fit_time,T3_TabPFN_predict_time,T3_TabPFN_ROC-AUC,T3_TabPFN_PR-AUC,T3_AG_fit_time,T3_AG_predict_time,T3_AG_ROC-AUC,T3_AG_PR-AUC
0,0.13305902481079102,7.6573426723480225,0.7554575358851674,0.36911484651450543,5.512533903121948,0.06847453117370605,0.6216606858054226,0.25699912694402405,0.14517688751220703,7.626463413238525,0.8869111111111112,0.6464995851185269,6.771947145462036,0.039218902587890625,0.8110666666666666,0.5349848883990547
1,0.13829398155212402,7.618029594421387,0.768640350877193,0.2885952947616131,5.128381013870239,0.01944708824157715,0.7033243620414673,0.25505082567462023,0.10800886154174805,7.631693124771118,0.8783777777777778,0.5903115788979187,7.269513130187988,0.033865928649902344,0.8257777777777778,0.5635061792749415
2,0.1113882064819336,7.6103832721710205,0.7441188197767145,0.36779230240168415,5.6824445724487305,0.043454885482788086,0.7302880781499203,0.36377522299332465,0.1116797924041748,7.595903396606445,0.814,0.5254361982272844,8.713234901428223,0.07076835632324219,0.8046666666666666,0.550075253029027
3,0.11983537673950195,7.626006364822388,0.7769637161084528,0.3114773022719225,9.999149560928345,0.026485681533813477,0.7135915071770336,0.23451865441275316,0.1265871524810791,7.631245136260986,0.8776,0.6506968997554012,6.718362092971802,0.026325225830078125,0.7477777777777779,0.4934360783446965
4,0.10870146751403809,7.590792894363403,0.7519687001594896,0.39517415740189915,5.4634716510772705,0.006730318069458008,0.6875996810207337,0.3702636210647245,0.1086585521697998,7.590757369995117,0.8647777777777778,0.6885274808249287,6.598761796951294,0.01774454116821289,0.875688888888889,0.5632249460998014
5,0.12210512161254883,7.609744071960449,0.7317832934609252,0.2609032702129693,5.511835336685181,0.023099899291992188,0.6985645933014354,0.23686348936481572,0.12653231620788574,7.62706184387207,0.9210888888888888,0.6917357901710224,7.733073711395264,0.04928255081176758,0.9436444444444444,0.6755308315791656
6,0.11700844764709473,7.5912768840789795,0.686777312599681,0.22402080906801958,5.52293848991394,0.0319521427154541,0.5837818979266348,0.2210146587048935,0.11038970947265625,7.613999605178833,0.8667555555555555,0.5664319265230326,5.656024217605591,0.026406526565551758,0.938888888888889,0.6523316977628564
7,0.10582566261291504,7.60443115234375,0.7922647527910687,0.4386357668278914,4.8872153759002686,0.016962051391601562,0.7841158293460926,0.41083106128549374,0.1088552474975586,7.595468282699585,0.8609333333333333,0.6005131634984829,5.959200382232666,0.02241373062133789,0.9203555555555556,0.6637019807148521
8,0.11413002014160156,7.60978627204895,0.787704346092504,0.4263536166105011,4.735184192657471,0.07036948204040527,0.7054924242424242,0.34861210735051457,0.10574793815612793,7.6055309772491455,0.9097333333333334,0.7233618939484965,5.883795976638794,0.0710747241973877,0.870311111111111,0.7107754356626557
9,0.1211705207824707,7.6035778522491455,0.7374401913875598,0.33663504434645664,4.955235004425049,0.04925799369812012,0.7487041467304625,0.27975456384396125,0.1147007942199707,7.611116409301758,0.9139999999999999,0.717746685145901,6.30312442779541,0.1147623062133789,0.9346222222222224,0.6732889202639459
