date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Sikkim,East,737101,0,1,0
03-09-2025,Sikkim,East,737107,1,0,0
03-09-2025,Sikkim,South,737134,0,1,0
03-09-2025,Sikkim,South Sikkim,737126,0,3,0
03-09-2025,Sikkim,West,737121,2,2,0
03-09-2025,Sikkim,West Sikkim,737111,1,0,0
03-09-2025,Sikkim,West Sikkim,737113,0,1,0
02-09-2025,Sikkim,East,737101,0,1,0
02-09-2025,Sikkim,East,737102,0,1,0
02-09-2025,Sikkim,East,737133,1,0,0
02-09-2025,Sikkim,East Sikkim,737101,2,1,1
02-09-2025,Sikkim,East Sikkim,737135,0,1,0
02-09-2025,Sikkim,South,737139,1,1,0
02-09-2025,Sikkim,West Sikkim,737111,2,1,0
01-09-2025,Sikkim,East,737102,4,0,0
01-09-2025,Sikkim,North Sikkim,737116,1,0,0
01-09-2025,Sikkim,South,737126,0,1,0
01-09-2025,Sikkim,West Sikkim,737113,1,0,0
05-09-2025,Sikkim,East,737103,1,0,0
05-09-2025,Sikkim,East,737134,0,1,0
05-09-2025,Sikkim,East Sikkim,737134,0,1,1
05-09-2025,Sikkim,South Sikkim,737139,0,2,0
05-09-2025,Sikkim,West Sikkim,737111,1,0,0
04-09-2025,Sikkim,East,737106,1,0,0
04-09-2025,Sikkim,South,737139,0,1,0
04-09-2025,Sikkim,West,737111,2,0,0
04-09-2025,Sikkim,West,737121,1,1,1
04-09-2025,Sikkim,West Sikkim,737111,1,0,0
08-09-2025,Sikkim,East,737101,0,1,0
08-09-2025,Sikkim,East,737106,1,2,0
08-09-2025,Sikkim,East Sikkim,737102,0,1,0
08-09-2025,Sikkim,North,737118,1,1,0
08-09-2025,Sikkim,South,737126,2,1,0
08-09-2025,Sikkim,West Sikkim,737121,0,2,0
09-09-2025,Sikkim,East,737106,0,1,0
09-09-2025,Sikkim,East,737107,0,2,0
10-09-2025,Sikkim,East,737102,2,0,0
10-09-2025,Sikkim,East,737134,0,1,0
10-09-2025,Sikkim,East Sikkim,737106,0,1,0
10-09-2025,Sikkim,East Sikkim,737134,0,1,0
10-09-2025,Sikkim,South Sikkim,737121,0,1,0
11-09-2025,Sikkim,East Sikkim,737106,0,1,0
11-09-2025,Sikkim,Namchi,737134,0,0,1
